model_number_1,model_number_2,iRMSD,TCR-iRMSD,Peptide-RMSD,MHC-iRMSD,CDR3a-RMSD,CDR3b-RMSD,DockQ,iRMSD-DockQ,lRMSD-DockQ,Fnat,Clashes
0_model,4_model,0.3431062233265382,0.5898430527812295,0.2156368747004919,0.18507370592510278,1.0347800190709686,0.4572619309372189,0.96,0.217,2.034,0.956,0
1_model,2_model,0.13382034251718988,0.16432409171356543,0.10954408912497489,0.12254278102323665,0.2894389895874745,0.08017401572541127,0.988,0.149,1.423,1.0,1
1_model,3_model,0.29044330520620876,0.5218466513244949,0.22524916533048053,0.12081101513662133,1.0298359742158274,0.4546840667142956,0.99,0.209,0.938,1.0,1
1_model,4_model,0.23255191545706666,0.324215741427329,0.2351791773540162,0.18430334242740426,0.29371934975837194,0.47562057886476256,0.983,0.202,1.192,0.985,1
2_model,3_model,0.2652921165293727,0.4828768314117895,0.20502601669012732,0.10071434672022171,0.9389669205922746,0.44571720479074617,0.983,0.194,1.237,0.985,1
2_model,4_model,0.20544030826053178,0.3020169078510648,0.22632165836127482,0.14864529288868747,0.20975655906432025,0.4689625050088195,0.99,0.168,0.384,0.985,1
3_model,4_model,0.28054622729375717,0.4896042884823419,0.08778143452391249,0.15008407991355285,1.0578349304074972,0.13148368458698784,0.987,0.139,1.087,0.985,0
0_model,1_model,1.229897138176894,2.5741822360839786,0.36713558614619324,0.5230146379628753,3.8221689156454826,0.6354360653648878,0.811,1.229,1.0,0.849,0
0_model,2_model,1.2793126008236724,2.66259811292232,0.23664772638458792,0.5715372516896096,3.6699727730083223,0.45936451355499525,0.794,1.238,1.204,0.808,0
0_model,3_model,0.8119499942341226,1.2370452970261563,0.7603387606353362,0.6577912491325436,1.2505714127706293,0.491583410356781,0.907,0.537,1.574,0.868,0
